depl,model,energy(joules),timestamp
DOCKER,cifar10,481.1937362990092,11
DOCKER,cifar10,575.3179692613016,12
DOCKER,cifar10,671.6546859187522,13
DOCKER,cifar10,776.3979624060719,14
DOCKER,cifar10,891.0034346689038,15
DOCKER,cifar10,1010.1815846564052,16
DOCKER,cifar10,1136.6007733342929,17
DOCKER,cifar10,1275.772694124197,18
DOCKER,cifar10,1411.980528345049,19
DOCKER,cifar10,1534.922608433826,20
DOCKER,cifar10,1671.6323040673099,21
DOCKER,cifar10,1840.7461830005452,22
DOCKER,cifar10,2017.702980595155,23
DOCKER,cifar10,2195.339050569628,24
DOCKER,cifar10,2389.6141225306023,25
DOCKER,cifar10,2594.5600769035573,26
DOCKER,cifar10,2796.999529611941,27
DOCKER,cifar10,2998.4873423297176,28
DOCKER,cifar10,3214.7637527174743,29
DOCKER,cifar10,3431.970945567204,30
DOCKER,cifar10,3647.1046439257366,31
DOCKER,cifar10,3881.623646527694,32
DOCKER,cifar10,4125.6347152523185,33
DOCKER,cifar10,4364.237097473035,34
DOCKER,cifar10,4617.2180012744675,35
DOCKER,cifar10,4875.754692044905,36
DOCKER,cifar10,5130.392793581839,37
DOCKER,cifar10,5390.605100139378,38
DOCKER,cifar10,5657.752473980428,39
DOCKER,cifar10,5949.29413025694,40
DOCKER,cifar10,6261.086739202066,41
DOCKER,cifar10,6565.890002499697,42
DOCKER,cifar10,6896.636433188023,43
DOCKER,cifar10,7234.67409480669,44
DOCKER,emotion,2.999119974624576,1
DOCKER,emotion,12.618539473933378,2
DOCKER,emotion,30.50067873577366,3
DOCKER,emotion,96.28384475543015,5
DOCKER,emotion,145.25932696422822,6
DOCKER,emotion,200.47437164580452,7
DOCKER,emotion,260.12628674228796,8
DOCKER,emotion,327.62743494233723,9
DOCKER,emotion,403.39282756074005,10
DOCKER,emotion,489.1002568504175,11
DOCKER,emotion,586.7983113602363,12
DOCKER,emotion,690.2046162819322,13
DOCKER,emotion,800.6995949968754,14
DOCKER,emotion,929.2719299051261,15
DOCKER,emotion,1064.5483594220461,16
DOCKER,emotion,1201.4603787187302,17
DOCKER,emotion,1337.396984206639,18
DOCKER,emotion,1483.883903052625,19
DOCKER,emotion,1647.4845346260909,20
DOCKER,emotion,1808.01542416725,21
DOCKER,emotion,1965.1448675554375,22
DOCKER,emotion,2133.913411517412,23
