depl,model,rss(kb),vsz(kb),timestamp,time
DOCKER,mnist,417376,94856,12/03/21 21:08:37.153,48.774
DOCKER,mnist,417376,94856,12/03/21 21:08:37.574,49.195
DOCKER,mnist,417376,94856,12/03/21 21:08:37.997,49.618
DOCKER,mnist,417376,94856,12/03/21 21:08:38.414,50.035
DOCKER,mnist,417376,94856,12/03/21 21:08:38.831,50.452
DOCKER,mnist,417376,94856,12/03/21 21:08:39.252,50.873
DOCKER,mnist,417376,94856,12/03/21 21:08:39.675,51.296
DOCKER,mnist,412508,91168,12/03/21 21:08:40.091,51.712
DOCKER,yolov4,189072,32736,12/03/21 23:10:39.273,0.0
DOCKER,yolov4,311584,64080,12/03/21 23:10:39.665,0.392
DOCKER,yolov4,322924,72024,12/03/21 23:10:40.055,0.782
DOCKER,yolov4,323104,72552,12/03/21 23:10:40.431,1.158
DOCKER,yolov4,327432,76052,12/03/21 23:10:40.817,1.544
DOCKER,yolov4,333068,80632,12/03/21 23:10:41.206,1.933
DOCKER,yolov4,336324,83452,12/03/21 23:10:41.595,2.322
DOCKER,yolov4,359992,91784,12/03/21 23:10:41.993,2.72
DOCKER,yolov4,359992,101024,12/03/21 23:10:42.392,3.119
DOCKER,yolov4,384144,129020,12/03/21 23:10:42.788,3.515
DOCKER,yolov4,506192,181732,12/03/21 23:10:43.214,3.941
DOCKER,yolov4,503296,176536,12/03/21 23:10:43.601,4.328
DOCKER,yolov4,503296,177436,12/03/21 23:10:44.014,4.741
DOCKER,yolov4,503296,177436,12/03/21 23:10:44.421,5.148
DOCKER,yolov4,503296,177436,12/03/21 23:10:44.826,5.553
DOCKER,yolov4,503296,177436,12/03/21 23:10:45.236,5.963
DOCKER,yolov4,503296,177436,12/03/21 23:10:45.644,6.371
DOCKER,yolov4,503296,177436,12/03/21 23:10:46.049,6.776
DOCKER,yolov4,503296,177436,12/03/21 23:10:46.460,7.187
DOCKER,yolov4,503296,177436,12/03/21 23:10:46.870,7.597
DOCKER,yolov4,503296,177436,12/03/21 23:10:47.284,8.011
DOCKER,yolov4,503296,177436,12/03/21 23:10:47.693,8.42
DOCKER,yolov4,503296,177436,12/03/21 23:10:48.100,8.827
DOCKER,yolov4,503296,177436,12/03/21 23:10:48.515,9.242
DOCKER,yolov4,503296,177436,12/03/21 23:10:48.923,9.65
DOCKER,yolov4,503296,177436,12/03/21 23:10:49.329,10.056
DOCKER,yolov4,503296,177436,12/03/21 23:10:49.741,10.468
DOCKER,yolov4,503296,177436,12/03/21 23:10:50.151,10.878
DOCKER,yolov4,503296,177436,12/03/21 23:10:50.563,11.29
DOCKER,yolov4,503296,177436,12/03/21 23:10:50.971,11.698
DOCKER,yolov4,503296,177436,12/03/21 23:10:51.380,12.107
DOCKER,yolov4,503296,177436,12/03/21 23:10:51.783,12.51
DOCKER,yolov4,503296,177436,12/03/21 23:10:52.192,12.919
DOCKER,yolov4,503296,177436,12/03/21 23:10:52.611,13.338
DOCKER,yolov4,503296,177436,12/03/21 23:10:53.022,13.749
DOCKER,yolov4,503296,177436,12/03/21 23:10:53.430,14.157
DOCKER,yolov4,503296,177436,12/03/21 23:10:53.840,14.567
DOCKER,yolov4,503296,177436,12/03/21 23:10:54.252,14.979
DOCKER,yolov4,503296,177436,12/03/21 23:10:54.664,15.391
DOCKER,yolov4,503296,177436,12/03/21 23:10:55.081,15.808
DOCKER,yolov4,503296,177436,12/03/21 23:10:55.499,16.226
DOCKER,yolov4,503296,177436,12/03/21 23:10:55.914,16.641
DOCKER,yolov4,503296,177436,12/03/21 23:10:56.324,17.051
DOCKER,yolov4,503296,177436,12/03/21 23:10:56.738,17.465
DOCKER,yolov4,503296,177436,12/03/21 23:10:57.146,17.873
DOCKER,yolov4,503296,177436,12/03/21 23:10:57.561,18.288
DOCKER,yolov4,503296,177436,12/03/21 23:10:57.985,18.712
DOCKER,yolov4,503296,177436,12/03/21 23:10:58.404,19.131
DOCKER,yolov4,503296,177436,12/03/21 23:10:58.821,19.548
